state_body,program_code,program_code_ext,program_name,program_goal,program_result_desc,subprogram_code,subprogram_name,subprogram_desc,subprogram_type,state_body_annual_plan,state_body_rev_annual_plan,state_body_period_plan,state_body_rev_period_plan,state_body_actual,state_body_actual_vs_rev_annual_plan,state_body_actual_vs_rev_period_plan,program_annual_plan,program_rev_annual_plan,program_period_plan,program_rev_period_plan,program_actual,program_actual_vs_rev_annual_plan,program_actual_vs_rev_period_plan,subprogram_annual_plan,subprogram_rev_annual_plan,subprogram_period_plan,subprogram_rev_period_plan,subprogram_actual,subprogram_actual_vs_rev_annual_plan,subprogram_actual_vs_rev_period_plan
Հանրապետության նախագահի աշխատակազմ,1154,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11001,Հանրապետության նախագահի գործունեության և ներկայացուցչականության ապահովում,Հանրապետության նախագահի` ներքին և արտաքին քաղաքականության առնչությամբ Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովում,Ծառայությունների մատուցում,1658673.6,1658893.6,1196703.9,1196923.9,1042590.3,0.628,0.871,1658673.6,1658893.6,1196703.9,1196923.9,1042590.3,0.628,0.871,1617021.6,1617021.6,1155051.9,1155051.9,1041338.3,0.644,0.902
Հանրապետության նախագահի աշխատակազմ,1154,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11005,"ՀՀ պետական կառավարման մարմինների կողմից  դիմումներ, հայցադիմումներ, դատարանի վճիռների  և որոշումների դեմ վերաքննիչ և վճռաբեկ բողոքներ ներկայացնելիս` «Պետական տուրքի մասին» ՀՀ օրենքով սահմանված վճարումներ","ՀՀ պետական կառավարման մարմինների կողմից  դիմումներ, հայցադիմումներ, դատարանի վճիռների  և որոշումների դեմ վերաքննիչ և վճռաբեկ բողոքներ ներկայացնելիս` «Պետական տուրքի մասին» ՀՀ օրենքով սահմանված վճարումներ",Ծառայությունների մատուցում,1658673.6,1658893.6,1196703.9,1196923.9,1042590.3,0.628,0.871,1658673.6,1658893.6,1196703.9,1196923.9,1042590.3,0.628,0.871,0.0,220.0,0.0,220.0,220.0,1.0,1.0
Հանրապետության նախագահի աշխատակազմ,1154,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,31001,Հանրապետության նախագահի աշխատակազմի տեխնիկական հագեցվածության բարելավում,Հանրապետության նախագահի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,1658673.6,1658893.6,1196703.9,1196923.9,1042590.3,0.628,0.871,1658673.6,1658893.6,1196703.9,1196923.9,1042590.3,0.628,0.871,41652.0,41652.0,41652.0,41652.0,1032.0,0.025,0.025
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11001,"ՀՀ Ազգային ժողովի գործունեության ապահովում, օրենսդրական, վերլուծական և ներկայացուցչական ծառայություններ","Իրավական ակտերի նախագծերի մասնագիտական փորձաքննություն, արտաքին կապերի կառավարում, տեղեկատվության և խորհրդատվության տրամադրում",Ծառայությունների մատուցում,7072937.0,7057512.0,5227803.5,5212378.5,4492262.1,0.637,0.862,7072937.0,7057512.0,5227803.5,5212378.5,4492262.1,0.637,0.862,6027152.8,6187162.2,4182019.3,4622028.7,4137458.2,0.669,0.895
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11002,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների վերապատրաստում,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների մասնագիտական հմտությունների և կարողությունների զարգացում,Ծառայությունների մատուցում,7072937.0,7057512.0,5227803.5,5212378.5,4492262.1,0.637,0.862,7072937.0,7057512.0,5227803.5,5212378.5,4492262.1,0.637,0.862,1309.2,1309.2,1309.2,1309.2,0.0,0.0,0.0
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11003,ՀՀ Ազգային ժողովի դերի բարձրացմանն  ուղղված միջոցառումների իրականացում,"ՀՀ ԱԺ նախագահի հովանու ներքո իրականացվող գիտական, կրթական, մշակութային և սպորտային միջոցառումների կազմակերպում",Ծառայությունների մատուցում,7072937.0,7057512.0,5227803.5,5212378.5,4492262.1,0.637,0.862,7072937.0,7057512.0,5227803.5,5212378.5,4492262.1,0.637,0.862,151341.0,151341.0,151341.0,151341.0,80988.0,0.535,0.535
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,12001,Միջազգային խորհրդարանական կազմակերպություններին ՀՀ անդամակցության վճարներ,"ՀՀ անդամակցություն միջազգային խորհրդարանական կազմակերպություններին, միջազգային կազմակերպությունների աշխատանքներին ՀՀ մասնակցություն, երկրում նրանց կողմից ծրագրերի իրականացման ապահովում",Տրանսֆերտների տրամադրում,7072937.0,7057512.0,5227803.5,5212378.5,4492262.1,0.637,0.862,7072937.0,7057512.0,5227803.5,5212378.5,4492262.1,0.637,0.862,114832.8,114832.8,114832.8,114832.8,74364.5,0.648,0.648
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,12002,Աջակցություն կուսակցություններին և կուսակցությունների        դաշինքներին,Օրենսդրությամբ (օրենքներով և կառավարության որոշումներով) նախատեսված օժանդակություն և փոխհատուցումներ,Տրանսֆերտների տրամադրում,7072937.0,7057512.0,5227803.5,5212378.5,4492262.1,0.637,0.862,7072937.0,7057512.0,5227803.5,5212378.5,4492262.1,0.637,0.862,520733.7,505308.7,520733.7,225308.7,195611.4,0.387,0.868
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,31001,Ազգային ժողովի տեխնիկական հագեցվածության բարելավում,Ազգային ժողովի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,7072937.0,7057512.0,5227803.5,5212378.5,4492262.1,0.637,0.862,7072937.0,7057512.0,5227803.5,5212378.5,4492262.1,0.637,0.862,257567.5,97558.1,257567.5,97558.1,3840.0,0.039,0.039
ՀՀ վարչապետի  աշխատակազմ,1018,1018,Պետական հատվածի արդիականացման ծրագիր,Ընտրված էլեկտրոնային կառավարման կատարելագործված ծառայությունների հասանելիության բարելավում,"Ծառայությունների մատուցման էլեկտրոնային կառավարման լուծումների իրագործում, հանրային հատվածի արդիականացման և կառավարման բարեփոխումների ընդգրկուն ընթացքի ապահովում:",11004,Համաշխարհային բանկի աջակցությամբ իրականացվող Պետական հատվածի արդիականացման չորրորդ ծրագրի շրջանակներում խորհրդատվական ծառայությունների ձեռքբերում,ՀՀ հանրային հատվածի բարեփոխումների մշակման և իրականացման խորհրդատվական ծառայությունների ձեռքբերում,Ծառայությունների մատուցում,24283991.8,21910604.9,15822714.8,16175851.9,14080076.1,0.643,0.87,3954379.0,866779.0,1013188.9,648088.9,546145.2,0.63,0.843,141386.6,115786.6,129148.2,92548.2,90588.3,0.782,0.9790000000000001
