state_body,program_code,program_name,program_goal,program_result_desc,subprogram_code,subprogram_name,subprogram_desc,subprogram_type,state_body_annual_plan,state_body_rev_annual_plan,state_body_period_plan,state_body_rev_period_plan,state_body_actual,state_body_actual_vs_rev_annual_plan,state_body_actual_vs_rev_period_plan,program_annual_plan,program_rev_annual_plan,program_period_plan,program_rev_period_plan,program_actual,program_actual_vs_rev_annual_plan,program_actual_vs_rev_period_plan,subprogram_annual_plan,subprogram_rev_annual_plan,subprogram_period_plan,subprogram_rev_period_plan,subprogram_actual,subprogram_actual_vs_rev_annual_plan,subprogram_actual_vs_rev_period_plan
Հանրապետության նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11001,Հանրապետության նախագահի գործունեության և ներկայացուցչականության ապահովում,Հանրապետության նախագահի` ներքին և արտաքին քաղաքականության առնչությամբ Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովում,Ծառայությունների մատուցում,1686361.3,1646541.3,1171838.9,1132018.9,997383.3,0.606,0.881,1686361.3,1646541.3,1171838.9,1132018.9,997383.3,0.606,0.881,1682598.8,1610598.8,1168076.4,1096076.4,963665.2,0.598,0.879
Հանրապետության նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11005,"ՀՀ պետական կառավարման մարմինների կողմից  դիմումներ, հայցադիմումներ, դատարանի վճիռների  և որոշումների դեմ վերաքննիչ և վճռաբեկ բողոքներ ներկայացնելիս` «Պետական տուրքի մասին» ՀՀ օրենքով սահմանված վճարումներ","ՀՀ պետական կառավարման մարմինների կողմից  դիմումներ, հայցադիմումներ, դատարանի վճիռների  և որոշումների դեմ վերաքննիչ և վճռաբեկ բողոքներ ներկայացնելիս` «Պետական տուրքի մասին» ՀՀ օրենքով սահմանված վճարումներ",Ծառայությունների մատուցում,1686361.3,1646541.3,1171838.9,1132018.9,997383.3,0.606,0.881,1686361.3,1646541.3,1171838.9,1132018.9,997383.3,0.606,0.881,0.0,180.0,0.0,180.0,180.0,1.0,1.0
Հանրապետության նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,31001,Հանրապետության նախագահի աշխատակազմի տեխնիկական հագեցվածության բարելավում,Հանրապետության նախագահի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,1686361.3,1646541.3,1171838.9,1132018.9,997383.3,0.606,0.881,1686361.3,1646541.3,1171838.9,1132018.9,997383.3,0.606,0.881,3762.5,35762.5,3762.5,35762.5,33538.1,0.938,0.938
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11001,"ՀՀ Ազգային ժողովի գործունեության ապահովում, օրենսդրական, վերլուծական և ներկայացուցչական ծառայություններ","Իրավական ակտերի նախագծերի մասնագիտական փորձաքննություն, արտաքին կապերի կառավարում, տեղեկատվության և խորհրդատվության տրամադրում",Ծառայությունների մատուցում,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,6109917.0,6109917.0,4208268.5,4208268.5,3576941.9,0.585,0.85
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11002,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների վերապատրաստում,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների մասնագիտական հմտությունների և կարողությունների զարգացում,Ծառայությունների մատուցում,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,1292.9,1292.9,1292.9,1292.9,0.0,0.0,0.0
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11003,ՀՀ Ազգային ժողովի դերի բարձրացմանն  ուղղված միջոցառումների իրականացում,"ՀՀ ԱԺ նախագահի հովանու ներքո իրականացվող գիտական, կրթական, մշակութային և սպորտային միջոցառումների կազմակերպում",Ծառայությունների մատուցում,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,60015.0,60015.0,60015.0,60015.0,11642.5,0.194,0.194
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11004,"Հասարակության և պետության հանդեպ հատուկ ծառայություններ ունեցած քաղաքացիների մահվան դեպքում հրաժեշտի ծիսակատարության և թաղման կազմակերպում, գերեզմանի բարեկարգման և մահարձանի պատրաստման ու տեղադրման աշխատանքներին աջակցություն",Հասարակության և պետության հանդեպ հատուկ ծառայություններ ունեցած քաղաքացիների մահվան դեպքում հրաժեշտի ծիսակատարության և թաղման կազմակերպում,Ծառայությունների մատուցում,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,0.0,1385.0,0.0,1385.0,1385.0,1.0,1.0
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,12001,Միջազգային խորհրդարանական կազմակերպություններին ՀՀ անդամակցության վճարներ,"ՀՀ անդամակցություն միջազգային խորհրդարանական կազմակերպություններին, միջազգային կազմակերպությունների աշխատանքներին ՀՀ մասնակցություն, երկրում նրանց կողմից ծրագրերի իրականացման ապահովում",Տրանսֆերտների տրամադրում,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,154825.5,154825.5,116119.1,116119.1,76117.2,0.492,0.656
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,12002,Աջակցություն կուսակցություններին և կուսակցությունների դաշինքներին,Օրենսդրությամբ (օրենքներով և կառավարության որոշումներով) նախատեսված օժանդակություն և փոխհատուցումներ,Տրանսֆերտների տրամադրում,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,520733.7,520733.7,520733.7,520733.7,260594.2,0.5,0.5
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,31001,Ազգային ժողովի տեխնիկական հագեցվածության բարելավում,Ազգային ժողովի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,7067172.5,7083357.5,5126817.6,5143002.6,4060036.7,0.573,0.789,127375.0,127375.0,127375.0,127375.0,98955.9,0.777,0.777
