state_body,program_code,program_code_ext,program_name,program_goal,program_result_desc,subprogram_code,subprogram_name,subprogram_desc,subprogram_type,state_body_annual_plan,state_body_rev_annual_plan,state_body_period_plan,state_body_rev_period_plan,state_body_actual,state_body_actual_vs_rev_annual_plan,state_body_actual_vs_rev_period_plan,program_annual_plan,program_rev_annual_plan,program_period_plan,program_rev_period_plan,program_actual,program_actual_vs_rev_annual_plan,program_actual_vs_rev_period_plan,subprogram_annual_plan,subprogram_rev_annual_plan,subprogram_period_plan,subprogram_rev_period_plan,subprogram_actual,subprogram_actual_vs_rev_annual_plan,subprogram_actual_vs_rev_period_plan
Հանրապետության նախագահի աշխատակազմ,1154,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11001,Հանրապետության նախագահի գործունեության և ներկայացուցչականության ապահովում,Հանրապետության նախագահի` ներքին և արտաքին քաղաքականության առնչությամբ Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովում,Ծառայությունների մատուցում,1658673.6,1658723.6,355081.8,355131.8,242292.7,0.146,0.682,1658673.6,1658723.6,355081.8,355131.8,242292.7,0.146,0.682,1617021.6,1617021.6,353314.8,353314.8,242242.7,0.15,0.6859999999999999
Հանրապետության նախագահի աշխատակազմ,1154,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11005,"ՀՀ պետական կառավարման մարմինների կողմից  դիմումներ, հայցադիմումներ, դատարանի վճիռների  և որոշումների դեմ վերաքննիչ և վճռաբեկ բողոքներ ներկայացնելիս` «Պետական տուրքի մասին» ՀՀ օրենքով սահմանված վճարումներ","ՀՀ պետական կառավարման մարմինների կողմից  դիմումներ, հայցադիմումներ, դատարանի վճիռների  և որոշումների դեմ վերաքննիչ և վճռաբեկ բողոքներ ներկայացնելիս` «Պետական տուրքի մասին» ՀՀ օրենքով սահմանված վճարումներ",Ծառայությունների մատուցում,1658673.6,1658723.6,355081.8,355131.8,242292.7,0.146,0.682,1658673.6,1658723.6,355081.8,355131.8,242292.7,0.146,0.682,0.0,50.0,0.0,50.0,50.0,1.0,1.0
Հանրապետության նախագահի աշխատակազմ,1154,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,31001,Հանրապետության նախագահի աշխատակազմի տեխնիկական հագեցվածության բարելավում,Հանրապետության նախագահի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,1658673.6,1658723.6,355081.8,355131.8,242292.7,0.146,0.682,1658673.6,1658723.6,355081.8,355131.8,242292.7,0.146,0.682,41652.0,41652.0,1767.0,1767.0,0.0,0.0,0.0
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11001,"ՀՀ Ազգային ժողովի գործունեության ապահովում, օրենսդրական, վերլուծական և ներկայացուցչական ծառայություններ","Իրավական ակտերի նախագծերի մասնագիտական փորձաքննություն, արտաքին կապերի կառավարում, տեղեկատվության և խորհրդատվության տրամադրում",Ծառայությունների մատուցում,7072937.0,7072937.0,1681185.6,1681185.6,1079752.4,0.153,0.642,7072937.0,7072937.0,1681185.6,1681185.6,1079752.4,0.153,0.642,6027152.8,6027152.8,1218715.6,1218715.6,1044067.5,0.17300000000000001,0.857
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11002,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների վերապատրաստում,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների մասնագիտական հմտությունների և կարողությունների զարգացում,Ծառայությունների մատուցում,7072937.0,7072937.0,1681185.6,1681185.6,1079752.4,0.153,0.642,7072937.0,7072937.0,1681185.6,1681185.6,1079752.4,0.153,0.642,1309.2,1309.2,0.0,0.0,0.0,0.0,0.0
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11003,ՀՀ Ազգային ժողովի դերի բարձրացմանն  ուղղված միջոցառումների իրականացում,"ՀՀ ԱԺ նախագահի հովանու ներքո իրականացվող գիտական, կրթական, մշակութային և սպորտային միջոցառումների կազմակերպում",Ծառայությունների մատուցում,7072937.0,7072937.0,1681185.6,1681185.6,1079752.4,0.153,0.642,7072937.0,7072937.0,1681185.6,1681185.6,1079752.4,0.153,0.642,151341.0,151341.0,10000.0,10000.0,0.0,0.0,0.0
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,12001,Միջազգային խորհրդարանական կազմակերպություններին ՀՀ անդամակցության վճարներ,"ՀՀ անդամակցություն միջազգային խորհրդարանական կազմակերպություններին, միջազգային կազմակերպությունների աշխատանքներին ՀՀ մասնակցություն, երկրում նրանց կողմից ծրագրերի իրականացման ապահովում",Տրանսֆերտների տրամադրում,7072937.0,7072937.0,1681185.6,1681185.6,1079752.4,0.153,0.642,7072937.0,7072937.0,1681185.6,1681185.6,1079752.4,0.153,0.642,114832.8,114832.8,114832.8,114832.8,33344.9,0.29,0.29
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,12002,Աջակցություն կուսակցություններին և կուսակցությունների        դաշինքներին,Օրենսդրությամբ (օրենքներով և կառավարության որոշումներով) նախատեսված օժանդակություն և փոխհատուցումներ,Տրանսֆերտների տրամադրում,7072937.0,7072937.0,1681185.6,1681185.6,1079752.4,0.153,0.642,7072937.0,7072937.0,1681185.6,1681185.6,1079752.4,0.153,0.642,520733.7,520733.7,260366.9,260366.9,0.0,0.0,0.0
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,31001,Ազգային ժողովի տեխնիկական հագեցվածության բարելավում,Ազգային ժողովի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,7072937.0,7072937.0,1681185.6,1681185.6,1079752.4,0.153,0.642,7072937.0,7072937.0,1681185.6,1681185.6,1079752.4,0.153,0.642,257567.5,257567.5,77270.3,77270.3,2340.0,0.009000000000000001,0.03
ՀՀ վարչապետի  աշխատակազմ,1018,1018,Պետական հատվածի արդիականացման ծրագիր,Ընտրված էլեկտրոնային կառավարման կատարելագործված ծառայությունների հասանելիության բարելավում,"Ծառայությունների մատուցման էլեկտրոնային կառավարման լուծումների իրագործում, հանրային հատվածի արդիականացման և կառավարման բարեփոխումների ընդգրկուն ընթացքի ապահովում:",11004,Համաշխարհային բանկի աջակցությամբ իրականացվող Պետական հատվածի արդիականացման չորրորդ ծրագրի շրջանակներում խորհրդատվական ծառայությունների ձեռքբերում,ՀՀ հանրային հատվածի բարեփոխումների մշակման և իրականացման խորհրդատվական ծառայությունների ձեռքբերում,,24283991.8,24441335.2,4961690.5,4995407.0,3218965.8,0.132,0.644,3954379.0,3954379.0,464943.3,464943.3,253892.9,0.064,0.546,141386.6,141386.6,13486.5,13486.5,12711.3,0.09,0.943
