state_body,program_code,program_name,program_goal,program_result_desc,subprogram_code,subprogram_name,subprogram_desc,subprogram_type,state_body_annual_plan,state_body_rev_annual_plan,state_body_period_plan,state_body_rev_period_plan,state_body_actual,state_body_actual_vs_rev_annual_plan,state_body_actual_vs_rev_period_plan,program_annual_plan,program_rev_annual_plan,program_period_plan,program_rev_period_plan,program_actual,program_actual_vs_rev_annual_plan,program_actual_vs_rev_period_plan,subprogram_annual_plan,subprogram_rev_annual_plan,subprogram_period_plan,subprogram_rev_period_plan,subprogram_actual,subprogram_actual_vs_rev_annual_plan,subprogram_actual_vs_rev_period_plan
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11001,ՀՀ նախագահի գործունեության և ներկայացուցչականության ապահովում,Հանրապետության նախագահի` ներքին և արտաքին քաղաքականության առնչությամբ Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովում,Ծառայությունների մատուցում,1145163.2,1334535.2,781657.9,959829.9,875166.4,0.656,0.912,1145163.2,1334535.2,781657.9,959829.9,875166.4,0.656,0.912,1121163.2,1155263.2,757657.9,780557.9,710843.9,0.615,0.911
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11002,Արտասահմանյան պաշտոնական գործուղումներ,Արտասահմանյան պաշտոնական գործուղումներ,Ծառայությունների մատուցում,1145163.2,1334535.2,781657.9,959829.9,875166.4,0.656,0.912,1145163.2,1334535.2,781657.9,959829.9,875166.4,0.656,0.912,0.0,140838.8,0.0,140838.8,138832.4,0.986,0.986
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11003,Արտասահմանյան պատվիրակությունների ընդունելություններ,Արտասահմանյան պատվիրակությունների ընդունելություններ,Ծառայությունների մատուցում,1145163.2,1334535.2,781657.9,959829.9,875166.4,0.656,0.912,1145163.2,1334535.2,781657.9,959829.9,875166.4,0.656,0.912,0.0,9423.2,0.0,9423.2,9366.2,0.994,0.994
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11004,2019 թվականի հունիսի 7-9-ը Երևան և Դիլիջան քաղաքներում Մտքերի գագաթնաժողովի (Summit of Minds) անցկացում,Հայաստանի Հանրապետության նախագահ Արմեն Սարգսյանի հովանու ներքո Մտքերի գագաթնաժողովը  (Summit of Minds) 2019 թվականի հունիսի 7-9-ը Երևան և Դիլիջան քաղաքներում անցկացնելու ապահովում,Ծառայությունների մատուցում,1145163.2,1334535.2,781657.9,959829.9,875166.4,0.656,0.912,1145163.2,1334535.2,781657.9,959829.9,875166.4,0.656,0.912,0.0,5000.0,0.0,5000.0,4998.0,1.0,1.0
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11005,"ՀՀ պետական կառավարման մարմինների կողմից  դիմումներ, հայցադիմումներ, դատարանի վճիռների  և որոշումների դեմ վերաքննիչ և վճռաբեկ բողոքներ ներկայացնելիս` «Պետական տուրքի մասին» ՀՀ օրենքով սահմանված վճարումներ",,Ծառայությունների մատուցում,1145163.2,1334535.2,781657.9,959829.9,875166.4,0.656,0.912,1145163.2,1334535.2,781657.9,959829.9,875166.4,0.656,0.912,0.0,10.0,0.0,10.0,10.0,1.0,1.0
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,31001,ՀՀ նախագահի աշխատակազմի տեխնիկական հագեցվածության բարելավում,Հանրապետության նախագահի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,1145163.2,1334535.2,781657.9,959829.9,875166.4,0.656,0.912,1145163.2,1334535.2,781657.9,959829.9,875166.4,0.656,0.912,24000.0,24000.0,24000.0,24000.0,11115.9,0.463,0.463
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11001,"ՀՀ Ազգային ժողովի գործունեության ապահովում, օրենսդրական, վերլուծական և ներկայացուցչական ծառայություններ","Իրավական ակտերի նախագծերի մասնագիտական փորձաքննություն, արտաքին կապերի կառավարում, տեղեկատվության և խորհրդատվության տրամադրում",Ծառայությունների մատուցում,5254230.1,6231859.0,3634969.3,4415778.4,3762937.9,0.604,0.852,5254230.1,6231859.0,3634969.3,4415778.4,3762937.9,0.604,0.852,4968459.4,5794952.6,3394323.4,4023996.8,3514654.9,0.607,0.873
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11002,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների վերապատրաստում,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների մասնագիտական հմտությունների և կարողությունների զարգացում,Ծառայությունների մատուցում,5254230.1,6231859.0,3634969.3,4415778.4,3762937.9,0.604,0.852,5254230.1,6231859.0,3634969.3,4415778.4,3762937.9,0.604,0.852,1211.0,1211.0,1211.0,1211.0,0.0,0.0,0.0
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,12001,Միջազգային խորհրդարանական կազմակերպություններին ՀՀ անդամակցության վճարներ,"ՀՀ անդամակցություն միջազգային խորհրդարանական կազմակերպություններին, միջազգային կազմակերպությունների աշխատանքներին ՀՀ մասնակցություն, երկրում նրանց կողմից ծրագրերի իրականացման ապահովում",Տրանսֆերտների տրամադրում,5254230.1,6231859.0,3634969.3,4415778.4,3762937.9,0.604,0.852,5254230.1,6231859.0,3634969.3,4415778.4,3762937.9,0.604,0.852,180499.2,180499.2,135374.4,135374.4,135373.8,0.75,1.0
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,31001,Ազգային ժողովի տեխնիկական հագեցվածության բարելավում,Ազգային ժողովի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,5254230.1,6231859.0,3634969.3,4415778.4,3762937.9,0.604,0.852,5254230.1,6231859.0,3634969.3,4415778.4,3762937.9,0.604,0.852,104060.5,255196.2,104060.5,255196.2,112909.2,0.442,0.442
