state_body,state_body_total,program_code,program_name,program_goal,program_result_desc,program_total,subprogram_code,subprogram_name,subprogram_desc,subprogram_type,subprogram_total
ՀՀ Նախագահի աշխատակազմ,1145163.2,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,1145163.2,11001,Միջոցառման անվանումը`,ՀՀ նախագահի գործունեության և ներկայացուցչականության ապահովում,Միջոցառման նկարագրությունը`,1121163.2
ՀՀ Նախագահի աշխատակազմ,1145163.2,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,1145163.2,31001,Միջոցառման անվանումը`,ՀՀ նախագահի աշխատակազմի տեխնիկական հագեցվածության բարելավում,Միջոցառման նկարագրությունը`,24000.0
ՀՀ Ազգային ժողով,5254230.1,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,5254230.1,11001,Միջոցառման անվանումը`,ՀՀ Ազգային ժողովի գործունեության ապահովում՝ օրենսդրական՝ վերլուծական և ներկայացուցչական ծառայություններ,Միջոցառման նկարագրությունը`,4968459.4
ՀՀ Ազգային ժողով,5254230.1,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,5254230.1,11002,Միջոցառման անվանումը`,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների վերապատրաստում,Միջոցառման նկարագրությունը`,1211.0
ՀՀ Ազգային ժողով,5254230.1,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,5254230.1,12001,Միջոցառման անվանումը`,Միջազգային խորհրդարանական կազմակերպություններին ՀՀ անդամակցության վճարներ,Միջոցառման նկարագրությունը`,180499.2
ՀՀ Ազգային ժողով,5254230.1,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,5254230.1,31001,Միջոցառման անվանումը`,Ազգային ժողովի տեխնիկական հագեցվածության բարելավում,Միջոցառման նկարագրությունը`,104060.5
ՀՀ վարչապետի աշխատակազմ,20439178.8,1018,Պետական հատվածի արդիականացման ծրագիր,Հանրային ֆինանսական հաշվետվությունների որակի և ընտրված էլեկտրոնային կառավարման կատարելագործված ծառայությունների հասանելիության բարելավում,Հանրային ֆինանսների կառավարման տեղեկատվական համակարգերի բարելավում՝ ծառայությունների մատուցման էլեկտրոնային կառավարման լուծումների իրագործում՝ հանրային հատվածի արդիականացման և կառավարման բարեփոխումների ընդգրկուն ընթացքի ապահովում:,4174467.6,11001,Միջոցառման անվանումը`,Համաշխարհային բանկի աջակցությամբ իրականացվող Պետական հատվածի արդիականացման երրորդ ծրագիր,Միջոցառման նկարագրությունը`,694408.3
ՀՀ վարչապետի աշխատակազմ,20439178.8,1018,Պետական հատվածի արդիականացման ծրագիր,Հանրային ֆինանսական հաշվետվությունների որակի և ընտրված էլեկտրոնային կառավարման կատարելագործված ծառայությունների հասանելիության բարելավում,Հանրային ֆինանսների կառավարման տեղեկատվական համակարգերի բարելավում՝ ծառայությունների մատուցման էլեկտրոնային կառավարման լուծումների իրագործում՝ հանրային հատվածի արդիականացման և կառավարման բարեփոխումների ընդգրկուն ընթացքի ապահովում:,4174467.6,11002,Միջոցառման անվանումը`,Ռուսաստանի Դաշնության կողմից Հայաստանի Հանրապետությանն անհատույց ֆինանսական օգնության դրամաշնորհային ծրագրի շրջանակներում խորհրդատվական ծառայությունների ձեռքբերում,Միջոցառման նկարագրությունը`,57627.6
ՀՀ վարչապետի աշխատակազմ,20439178.8,1018,Պետական հատվածի արդիականացման ծրագիր,Հանրային ֆինանսական հաշվետվությունների որակի և ընտրված էլեկտրոնային կառավարման կատարելագործված ծառայությունների հասանելիության բարելավում,Հանրային ֆինանսների կառավարման տեղեկատվական համակարգերի բարելավում՝ ծառայությունների մատուցման էլեկտրոնային կառավարման լուծումների իրագործում՝ հանրային հատվածի արդիականացման և կառավարման բարեփոխումների ընդգրկուն ընթացքի ապահովում:,4174467.6,32001,Միջոցառման անվանումը`,Համաշխարհային բանկի աջակցությամբ իրականացվող Պետական հատվածի արդիականացման երրորդ  ծրագրի շրջանակներում էլեկտրոնային կառավարման համակարգերի և սարքավորումների ձեռքբերում,Միջոցառման նկարագրությունը`,1861684.2
ՀՀ վարչապետի աշխատակազմ,20439178.8,1018,Պետական հատվածի արդիականացման ծրագիր,Հանրային ֆինանսական հաշվետվությունների որակի և ընտրված էլեկտրոնային կառավարման կատարելագործված ծառայությունների հասանելիության բարելավում,Հանրային ֆինանսների կառավարման տեղեկատվական համակարգերի բարելավում՝ ծառայությունների մատուցման էլեկտրոնային կառավարման լուծումների իրագործում՝ հանրային հատվածի արդիականացման և կառավարման բարեփոխումների ընդգրկուն ընթացքի ապահովում:,4174467.6,32002,Միջոցառման անվանումը`,Ռուսաստանի Դաշնության կողմից Հայաստանի Հանրապետությանն անհատույց ֆինանսական օգնության դրամաշնորհային ծրագիր շրջանակներում ԿՖԿՏՀ ներդրում,Միջոցառման նկարագրությունը`,1560747.5
ՀՀ վարչապետի աշխատակազմ,20439178.8,1019,Սոցիալական ներդրումների և տեղական զարգացման ծրագիր,Նպաստել տարածքներում բնակչության նյութական և ոչ նյութական բարեկեցության աճին,Համայնքային և միջհամայնքային ենթակառուցվածքների և որակի հասանելիության բարելավում՝ ինստիտուցիոնալ և ֆինանասական կարողությունների հզորացում,3770821.9,11001,Միջոցառման անվանումը`,Համաշխարհային բանկի աջակցությամբ իրականացվող Տարածքային զարգացման հիմնադրամի ծրագրի կառավարում,Միջոցառման նկարագրությունը`,323254.8
ՀՀ վարչապետի աշխատակազմ,20439178.8,1019,Սոցիալական ներդրումների և տեղական զարգացման ծրագիր,Նպաստել տարածքներում բնակչության նյութական և ոչ նյութական բարեկեցության աճին,Համայնքային և միջհամայնքային ենթակառուցվածքների և որակի հասանելիության բարելավում՝ ինստիտուցիոնալ և ֆինանասական կարողությունների հզորացում,3770821.9,11002,Միջոցառման անվանումը`,ԱՄՆ Միջազգային զարգացման գործակալության աջակցությամբ իրականացվող Տեղական ինքնակառավարման բարեփոխումների դրամաշնորհային ծրագիր,Միջոցառման նկարագրությունը`,4802.7
ՀՀ վարչապետի աշխատակազմ,20439178.8,1019,Սոցիալական ներդրումների և տեղական զարգացման ծրագիր,Նպաստել տարածքներում բնակչության նյութական և ոչ նյութական բարեկեցության աճին,Համայնքային և միջհամայնքային ենթակառուցվածքների և որակի հասանելիության բարելավում՝ ինստիտուցիոնալ և ֆինանասական կարողությունների հզորացում,3770821.9,12001,Միջոցառման անվանումը`,Համաշխարհային բանկի աջակցությամբ իրականացվող  Տարածքային զարգացման հիմնադրամի ծրագրի շրջանակներում ՀՀ տարածքներում ջրագծերի՝ առողջապահության՝ կրթության՝ մշակույթի՝ հատուկ խնամքի և  ենթակառուցվածքների ոլորտի վերականգնման և  շինարարության աշխատանքներ,Միջոցառման նկարագրությունը`,2820764.9
