state_body,state_body_total,program_code,program_name,program_goal,program_result_desc,program_total,subprogram_code,subprogram_name,subprogram_desc,subprogram_type,subprogram_total
Հանրապետության նախագահի աշխատակազմ,1771633.0,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,1771633.0,11001,Միջոցառման անվանումը`,Հանրապետության նախագահի գործունեության և ներկայացուցչականության ապահովում,Միջոցառման նկարագրությունը`,1685833.0
Հանրապետության նախագահի աշխատակազմ,1771633.0,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,1771633.0,31001,Միջոցառման անվանումը`,Հանրապետության նախագահի աշխատակազմի տեխնիկական հագեցվածության բարելավում,Միջոցառման նկարագրությունը`,85800.0
ՀՀ Ազգային ժողով,7264247.1,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,7264247.1,11001,Միջոցառման անվանումը`,"ՀՀ Ազգային ժողովի գործունեության ապահովում, օրենսդրական, վերլուծական և ներկայացուցչական ծառայություններ",Միջոցառման նկարագրությունը`,6198765.6
ՀՀ Ազգային ժողով,7264247.1,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,7264247.1,11002,Միջոցառման անվանումը`,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների վերապատրաստում,Միջոցառման նկարագրությունը`,1309.2
ՀՀ Ազգային ժողով,7264247.1,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,7264247.1,11003,Միջոցառման անվանումը`,ՀՀ Ազգային ժողովի դերի բարձրացմանն  ուղղված միջոցառումների իրականացում,Միջոցառման նկարագրությունը`,50682.8
ՀՀ Ազգային ժողով,7264247.1,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,7264247.1,12001,Միջոցառման անվանումը`,Միջազգային խորհրդարանական կազմակերպություններին ՀՀ անդամակցության վճարներ,Միջոցառման նկարագրությունը`,125476.8
ՀՀ Ազգային ժողով,7264247.1,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,7264247.1,12002,Միջոցառման անվանումը`,Աջակցություն կուսակցություններին և կուսակցությունների դաշինքներին,Միջոցառման նկարագրությունը`,520733.7
ՀՀ Ազգային ժողով,7264247.1,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,7264247.1,31001,Միջոցառման անվանումը`,Ազգային ժողովի տեխնիկական հագեցվածության բարելավում,Միջոցառման նկարագրությունը`,175789.0
ՀՀ Ազգային ժողով,7264247.1,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,7264247.1,31003,Միջոցառման անվանումը`,ՀՀ Ազգային ժողովի շենքային պայմանների բարելավում,Միջոցառման նկարագրությունը`,191490.0
ՀՀ վարչապետի աշխատակազմ,24773904.6,1018,Պետական հատվածի արդիականացման ծրագիր,Ընտրված էլեկտրոնային կառավարման կատարելագործված ծառայությունների հասանելիության բարելավում,"Ծառայությունների մատուցման էլեկտրոնային կառավարման լուծումների իրագործում, հանրային հատվածի արդիականացման և կառավարման բարեփոխումների ընդգրկուն ընթացքի ապահովում:",3737752.4,11004,Միջոցառման անվանումը`,Համաշխարհային բանկի աջակցությամբ իրականացվող Պետական հատվածի արդիականացման չորրորդ ծրագրի շրջանակներում խորհրդատվական ծառայությունների ձեռքբերում,Միջոցառման նկարագրությունը`,181746.8
ՀՀ վարչապետի աշխատակազմ,24773904.6,1018,Պետական հատվածի արդիականացման ծրագիր,Ընտրված էլեկտրոնային կառավարման կատարելագործված ծառայությունների հասանելիության բարելավում,"Ծառայությունների մատուցման էլեկտրոնային կառավարման լուծումների իրագործում, հանրային հատվածի արդիականացման և կառավարման բարեփոխումների ընդգրկուն ընթացքի ապահովում:",3737752.4,32003,Միջոցառման անվանումը`,Համաշխարհային բանկի աջակցությամբ իրականացվող Պետական հատվածի արդիականացման չորրորդ  ծրագրի շրջանակներում էլեկտրոնային կառավարման համակարգերի և սարքավորումների ձեռքբերում,Միջոցառման նկարագրությունը`,3556005.6
ՀՀ վարչապետի աշխատակազմ,24773904.6,1033,Աջակցություն հասարակական և այլ կազմակերպություններին,Քաղաքացիական հասարակության զարգացում,Հասարակության կայուն զարգացման գործընթացներում քաղաքացիական հասարակության կառույցների ընդգրկվածություն և մասնակցություն,73813.0,11002,Միջոցառման անվանումը`,Պետական կառավարման գործընթացներին քաղաքացիական հասարակության մասնակցության ապահովում,Միջոցառման նկարագրությունը`,12000.0
ՀՀ վարչապետի աշխատակազմ,24773904.6,1033,Աջակցություն հասարակական և այլ կազմակերպություններին,Քաղաքացիական հասարակության զարգացում,Հասարակության կայուն զարգացման գործընթացներում քաղաքացիական հասարակության կառույցների ընդգրկվածություն և մասնակցություն,73813.0,11003,Միջոցառման անվանումը`,Աջակցություն հասարակական կազմակերպություններին,Միջոցառման նկարագրությունը`,41813.0
ՀՀ վարչապետի աշխատակազմ,24773904.6,1033,Աջակցություն հասարակական և այլ կազմակերպություններին,Քաղաքացիական հասարակության զարգացում,Հասարակության կայուն զարգացման գործընթացներում քաղաքացիական հասարակության կառույցների ընդգրկվածություն և մասնակցություն,73813.0,12001,Միջոցառման անվանումը`,Պետական աջակցություն ազգային փոքրամասնությունների հասարակական կազմակերպություններին,Միջոցառման նկարագրությունը`,20000.0
ՀՀ վարչապետի աշխատակազմ,24773904.6,1091,Հանրային իրազեկում,"Հանրային կապերի, պետական մարմինների թափանցիկության, տեղեկատվության մատչելիության ապահովում","Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ համար կարևոր նշանակություն ունեցող իրադարձությունների լուսաբանում",1323664.6,11001,Միջոցառման անվանումը`,Հանրային իրազեկում և հասարակական-քաղաքագիտական հետազոտություններ,Միջոցառման նկարագրությունը`,731763.1
ՀՀ վարչապետի աշխատակազմ,24773904.6,1091,Հանրային իրազեկում,"Հանրային կապերի, պետական մարմինների թափանցիկության, տեղեկատվության մատչելիության ապահովում","Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ համար կարևոր նշանակություն ունեցող իրադարձությունների լուսաբանում",1323664.6,11004,Միջոցառման անվանումը`,"Տեղեկատվության ձեռքբերման, պահպանման և արխիվացման ծառայություններ",Միջոցառման նկարագրությունը`,199258.2
